Website,Company Name,Ticker,Exchange,domain,files_in_bucket
https://www.champem.com,Champion Electric Metals Inc.,LTHM,CSE,champem.com,189
https://claritymetals.com,Clarity Metals Corp.,CMET,CSE,claritymetals.com,1
https://class1nickel.com,Class 1 Nickel and Technologies Limited,NICO,CSE,class1nickel.com,112
,CMP Mining Inc.,CMP,CSE,,0
https://cmxgoldandsilver.com,CMX Gold & Silver Corp.,CXC,CSE,cmxgoldandsilver.com,71
https://collectivemetalsinc.com/,Collective Metals Inc.,COMT,CSE,collectivemetalsinc.com,108
https://interracoppercorp.com,Copper Quest Exploration Inc. (formerly was IMCX/Interra Copper Corp until 2025-02-28),CQX,CSE,interracoppercorp.com,154
https://copperstandard.com,Copper Standard Resources Inc.,CSR,CSE,copperstandard.com,45
https://copperheadresourcesinc.com/,Copperhead Resources Inc.,CUH,CSE,copperheadresourcesinc.com,33
https://corcelexploration.com/,Corcel Exploration Inc,CRCL,CSE,corcelexploration.com,3
https://coreassetscorp.com,Core Assets Corp.,CC,CSE,coreassetscorp.com,210
https://www.corenickel.com/,Core Nickel Corp.,CNCO,CSE,corenickel.com,55
https://crestviewexploration.com,Crestview Exploration Inc.,CRS,CSE,crestviewexploration.com,175
https://madisonmetals.ca,Critical One Energy Inc. (formerly was GREN/Madison Metals Inc. until 2024-12-20),CRTL,CSE,madisonmetals.ca,133
https://www.crpc-corp.com,Critical Reagent Processing Corp.,CRPC,CSE,crpc-corp.com,55
https://www.crossriverventures.com,Cross River Ventures Corp.,CRVC,CSE,crossriverventures.com,0
https://www.cruzbatterymetals.com,Cruz Battery Metals Corp.,CRUZ,CSE,cruzbatterymetals.com,184
https://www.cullinanmetals.com,Cullinan Metals Corp,CMT,CSE,cullinanmetals.com,36
https://cupanimetals.com,Cupani Metals Corp. (formerly was IC/IC Capitalight Corp. until 2024-12-13),CUPA,CSE,cupanimetals.com,46
https://darkstarminerals.com,Dark Star Minerals Inc.,BATT,CSE,darkstarminerals.com,32
https://www.deeprockmineralsinc.com,DeepRock Minerals Inc.,DEEP,CSE,deeprockmineralsinc.com,0
https://www.discoverylithium.com,Discovery Lithium Inc.,DCLI,CSE,discoverylithium.com,0
,Double Deuce Exploration Corp.,DD,CSE,,0
https://www.dunbarmetals.com,Dunbar Metals Corp.,DMC,CSE,dunbarmetals.com,35
https://www.eagleroyalties.com,Eagle Royalties Ltd.,ER,CSE,eagleroyalties.com,145
https://eagleonemetals.com/,EagleOne Metals Corporation,EAGL,CSE,eagleonemetals.com,10
https://earthwiseminerals.com,Earthwise Minerals Corp.,WISE,CSE,earthwiseminerals.com,17
https://www.eco-oro.com,ECO ORO MINERALS CORP. J,EOM,CSE,eco-oro.com,1
https://edgemontgold.com,Edgemont Gold Corp.,EDGM,CSE,edgemontgold.com,51
https://www.element79.gold,Element79 Gold Corp.,ELEM,CSE,element79.gold,8
https://www.empmetals.com,EMP Metals Corp.,EMPS,CSE,empmetals.com,0
https://emperormetals.com,Emperor Metals Inc.,AUOZ,CSE,emperormetals.com,40
https://www.e-powerresources.com,E-Power Resources Inc.,EPR,CSE,e-powerresources.com,0
https://esgold.com,ESGold Corp.,ESAU,CSE,esgold.com,231
https://etruscusresources.com,Etruscus Resources Corp.,ETR,CSE,etruscusresources.com,167
https://scoutmineralscorp.com,Eureka Lithium Corp.,ERKA,CSE,scoutmineralscorp.com,1
https://www.evmineralscorp.ca,EV Minerals Corporation,EVM,CSE,evmineralscorp.ca,50
,Evolution Global Frontier Ventures Corp.,EGFV,CSE,,0
https://www.exploitsdiscovery.com,Exploits Discovery Corp.,NFLD,CSE,exploitsdiscovery.com,161
https://adiaresources.com/,Fabled Copper Corp.,FABL,CSE,adiaresources.com,2
https://fathomnickel.com,Fathom Nickel Inc.,FNI,CSE,fathomnickel.com,140
https://fenixoro.com/,FenixOro Gold Corp.,FENX,CSE,fenixoro.com,2
https://firstamericanuranium.com,First American Uranium Inc.,URM,CSE,firstamericanuranium.com,1
https://firstlithium.ca,First Lithium Minerals Corp.,FLM,CSE,firstlithium.ca,36
https://www.firstphosphate.com,First Phosphate Corp.,PHOS,CSE,firstphosphate.com,0
https://firsttellurium.com,First Tellurium Corp.,FTEL,CSE,firsttellurium.com,288
https://flowmetals.com,Flow Metals Corp.,FWM,CSE,flowmetals.com,5
https://foremostcleanenergy.com,Foremost Clean Energy Ltd.,FAT,CSE,foremostcleanenergy.com,197
https://www.forgeresourcescorp.com,Forge Resources Corp. (formerly was BNN/Benjamin Hill Mining Corp until 2024-04-19),FRG,CSE,forgeresourcescorp.com,74
,Formation Metals Inc.,FOMO,CSE,,0
https://forteminerals.com,Forte Minerals Corp,CUAU,CSE,forteminerals.com,80
https://www.fortypillars.ca,Forty Pillars Mining Corp.,PLLR,CSE,fortypillars.ca,6
https://www.fourninesgold.ca,Four Nines Gold Inc.,FNAU,CSE,fourninesgold.ca,25
https://fox-river.ca,Fox River Resources Corporation,FOX,CSE,fox-river.ca,82
https://freebatterymetal.com,Free Battery Metal Limited,FREE,CSE,freebatterymetal.com,7
https://gallopergold.com/,Galloper Gold Corp.,BOOM,CSE,gallopergold.com,10
https://gandergold.com,Gander Gold Corporation,GAND,CSE,gandergold.com,43
https://gelumresources.com,Gelum Resources Ltd.,GMR,CSE,gelumresources.com,51
